TransactionID,AccountID,CustomerID,TxType,Amount,TxDate,Channel,Description
T0000001,A00001,C0001,WITHDRAWAL,1373.27,2018-05-27,mobile,Syndicate Bleeding-Edge Infrastructures
T0000002,A00001,C0001,deposit,4551.91,07-31-2017,mobile,Grow Extensible Relationships
T0000003,A00001,C0001,DEPOSIT,6548.41,2017-04-25,mobile,Deploy Back-End Eyeballs
T0000004,A00001,C0001,withdrawal,633.83,2019-01-15,atm,Monetize Value-Added Synergies
T0000005,A00001,C0001,transfer,3976.5,2018-06-12,branch,Mesh Global Convergence
T0000006,A00001,C0001,deposit,4604.64,2020-10-24,mobile,Envisioneer Collaborative Users
T0000007,A00001,C0001,payment,1145.87,2019-05-28,atm,Implement Holistic Info-Mediaries
T0000008,A00001,C0001,withdrawal,6527.49,2020-08-13,branch,Monetize Value-Added E-Commerce
T0000009,A00001,C0001,WITHDRAWAL,,01-18-2019,branch,Exploit Distributed Metrics
T0000010,A00001,C0001,WITHDRAWAL,7717.31,2021-01-19,atm,Enhance Clicks-And-Mortar Schemas
T0000011,A00001,C0001,transfer,5070.56,12-12-2018,branch,Disintermediate Dynamic E-Markets
T0000012,A00001,C0001,withdrawal,6535.63,2019-05-02,mobile,Matrix User-Centric Interfaces
T0000013,A00001,C0001,deposit,8479.57,2019-10-10,branch,Incentivize Granular Experiences
T0000014,A00001,C0001,transfer,234.79,2023-04-29,mobile,Synergize Enterprise E-Services
T0000015,A00001,C0001,deposit,11975.4,08-16-2023,online,Morph Strategic E-Commerce
T0000016,A00001,C0001,payment,2387.19,11-11-2024,mobile,Whiteboard Web-Enabled Deliverables
T0000017,A00001,C0001,transfer,1951.33,03-29-2017,branch,Engineer Real-Time Technologies
T0000018,A00001,C0001,withdrawal,3028.39,2023-09-13,mobile,Visualize Real-Time E-Markets
T0000019,A00001,C0001,withdrawal,3218.42,05-21-2022,mobile,Aggregate Innovative Roi
T0000020,A00001,C0001,DEPOSIT,14528.0,2021-10-10,online,Enable Distributed Initiatives
T0000021,A00001,C0001,transfer,5267.66,11-26-2016,atm,Whiteboard Ubiquitous E-Business
T0000022,A00001,C0001,transfer,373.49,07-18-2017,mobile,Grow Real-Time E-Business
T0000023,A00001,C0001,withdrawal,6373.92,2024-02-13,online,Synthesize Dynamic Vortals
T0000024,A00001,C0001,DEPOSIT,,2015-10-19,branch,Utilize B2C Markets
T0000025,A00001,C0001,withdrawal,3715.24,2020-09-04,branch,Incubate Vertical Roi
T0000026,A00002,C0002,WITHDRAWAL,2377.55,2023-05-04,online,Transform Front-End Niches
T0000027,A00002,C0002,PAYMENT,2193.15,08-05-2023,atm,Enable Visionary Synergies
T0000028,A00002,C0002,withdrawal,6278.47,2024-02-22,mobile,Enhance E-Business Eyeballs
T0000029,A00002,C0002,withdrawal,3516.56,03-30-2024,mobile,Implement Rich E-Tailers
T0000030,A00002,C0002,deposit,718.01,2024-02-29,online,Facilitate Next-Generation Content
T0000031,A00002,C0002,payment,1947.43,2023-05-02,branch,Generate Rich Relationships
T0000032,A00002,C0002,withdrawal,4424.24,12-14-2023,atm,Target Robust Supply-Chains
T0000033,A00002,C0002,withdrawal,3707.19,11-02-2024,mobile,Evolve B2B Markets
T0000034,A00002,C0002,DEPOSIT,,2023-10-14,mobile,Empower Impactful Partnerships
T0000035,A00002,C0002,transfer,7067.12,2023-05-08,mobile,Incubate Collaborative Roi
T0000036,A00002,C0002,withdrawal,55.51,2024-12-05,branch,Aggregate Dot-Com Architectures
T0000037,A00002,C0002,deposit,10571.21,11-05-2023,online,E-Enable Value-Added Initiatives
T0000038,A00002,C0002,deposit,13086.09,2024-11-20,branch,Revolutionize Interactive Architectures
T0000039,A00002,C0002,withdrawal,3671.25,2024-04-17,atm,Revolutionize Visionary Action-Items
T0000040,A00002,C0002,WITHDRAWAL,5120.09,08-22-2024,mobile,Extend Robust Solutions
T0000041,A00002,C0002,withdrawal,931.57,12-24-2024,atm,Target Mission-Critical Deliverables
